question,intent,entity,answer
Rối loạn chuyển đổi,Nguyên nhân,Conversion Disorder,Căng thẳng tâm lý hoặc xung đột nội tâm
Rối loạn căn chỉnh mắt,Triệu chứng,Eye alignment disorder,"Nhìn đôi, mệt mỏi mắt, cảm nhận độ sâu kém, nghiêng đầu"
Rối loạn căn chỉnh mắt,Điều trị,Eye alignment disorder,"Kính mắt, liệu pháp che mắt, liệu pháp thị lực, tiêm Botox, phẫu thuật"
Rối loạn căn chỉnh mắt,Nguyên nhân,Eye alignment disorder,"Yếu cơ mắt, bất thường thần kinh hoặc di truyền"
Rối loạn giác mạc,Triệu chứng,Corneal Disorder,"Tầm nhìn mờ hoặc mịt mù, đau hoặc khó chịu ở mắt, đỏ hoặc kích ứng mắt, chảy nước mắt nhiều, nhạy cảm với ánh sáng (sợ ánh sáng), cảm giác có dị vật, khô hoặc chảy nước mắt nhiều, trầy xước hoặc loét giác mạc, hình dạng giác mạc méo mó hoặc không đều, mất thị lực"
Rối loạn giác mạc,Điều trị,Corneal Disorder,"Điều trị phụ thuộc vào rối loạn giác mạc cụ thể và có thể bao gồm: nước mắt nhân tạo hoặc thuốc nhỏ mắt bôi trơn, thuốc nhỏ mắt kháng sinh hoặc chống nấm (nếu có nhiễm trùng), thuốc nhỏ mắt hoặc thuốc mỡ corticosteroid (để giảm viêm), kính áp tròng băng bó, kính áp tròng trị liệu, ghép giác mạc (trong trường hợp nặng), phẫu thuật chỉnh hình (như LASIK hoặc PRK) để điều chỉnh thị lực, kính bảo hộ hoặc kính râm, tránh chất kích ứng hoặc tác nhân, kiểm tra mắt định kỳ và theo dõi, thay đổi lối sống (như vệ sinh mắt đúng cách và tránh căng thẳng mắt)"
Rối loạn giác mạc,Nguyên nhân,Corneal Disorder,"Tổn thương giác mạc do chấn thương, nhiễm trùng hoặc bệnh lý"
Rối loạn hoảng sợ,Triệu chứng,Panic disorder,"Nhịp tim nhanh, đổ mồ hôi, run rẩy, khó thở, sợ mất kiểm soát, chóng mặt"
Rối loạn hoảng sợ,Điều trị,Panic disorder,"Thuốc chống trầm cảm, liệu pháp hành vi nhận thức, kỹ thuật thư giãn"
Rối loạn hoảng sợ,Nguyên nhân,Panic disorder,"Yếu tố di truyền, căng thẳng tâm lý, hoặc mất cân bằng hóa học trong não"
Rối loạn khớp thái dương hàm,Triệu chứng,Temporomandibular Joint Disorder,"Đau hoặc nhạy cảm hàm, âm thanh lách cách hoặc bật ở khớp hàm, khó nhai hoặc mở miệng"
Rối loạn khớp thái dương hàm,Điều trị,Temporomandibular Joint Disorder,"Biện pháp tự chăm sóc (nghỉ ngơi, chườm nóng hoặc lạnh, bài tập hàm), thuốc giảm đau, vật lý trị liệu, nẹp miệng"
Rối loạn khớp thái dương hàm,Nguyên nhân,Temporomandibular Joint Disorder,"Chấn thương, viêm khớp hoặc căng thẳng"
Rối loạn kiểm soát xung động,Triệu chứng,Impulse Control Disorder,"Hành vi bốc đồng (ví dụ: cờ bạc, trộm cắp), khó cưỡng lại xung động"
Rối loạn kiểm soát xung động,Điều trị,Impulse Control Disorder,"Tâm lý trị liệu, thuốc (trong một số trường hợp), nhóm hỗ trợ, can thiệp hành vi"
Rối loạn kiểm soát xung động,Nguyên nhân,Impulse Control Disorder,Rối loạn thần kinh hoặc tâm lý
Rối loạn lưỡng cực,Triệu chứng,Bipolar Disorder,"Dao động tâm trạng, giai đoạn hưng cảm, giai đoạn trầm cảm"
Rối loạn lưỡng cực,Điều trị,Bipolar Disorder,"Thuốc (ổn định tâm trạng, chống loạn thần), liệu pháp"
Rối loạn lưỡng cực,Nguyên nhân,Bipolar Disorder,Rối loạn tâm thần do di truyền hoặc mất cân bằng hóa học trong não
Rối loạn mũi,Triệu chứng,Nose Disorder,"Nghẹt mũi, chảy nước mũi, hắt hơi, đau hoặc áp lực mặt, mất khứu giác"
Rối loạn mũi,Điều trị,Nose Disorder,"Điều trị phụ thuộc vào nguyên nhân cơ bản (như dị ứng, viêm xoang, hoặc polyp mũi), và có thể bao gồm thuốc (như thuốc thông mũi, thuốc kháng histamine, thuốc xịt mũi), rửa mũi bằng nước muối, hít hơi nước, quản lý dị ứng, kháng sinh (nếu có nhiễm khuẩn), can thiệp phẫu thuật (trong một số trường hợp)"
Rối loạn mũi,Nguyên nhân,Nose Disorder,"Dị ứng, nhiễm trùng hoặc bất thường cấu trúc mũi"
Rối loạn nhai lại,Triệu chứng,Rumination Disorder,Nôn trớ và nhai lại thức ăn lặp đi lặp lại
Rối loạn nhai lại,Điều trị,Rumination Disorder,"Liệu pháp hành vi (như kỹ thuật thở cơ hoành), phản hồi sinh học, giải quyết các tình trạng tâm lý hoặc y tế cơ bản, điều chỉnh chế độ ăn"
Rối loạn nhai lại,Nguyên nhân,Rumination Disorder,"Rối loạn tâm lý, căng thẳng, hoặc bất thường tiêu hóa"
Rối loạn sử dụng benzodiazepine,Triệu chứng,Benzodiazepine Use Disorder,"An thần, thư giãn, giảm lo âu, buồn ngủ, phối hợp kém, suy giảm trí nhớ, triệu chứng cai (như lo âu tái phát, mất ngủ, run) khi cố gắng ngừng hoặc giảm sử dụng benzodiazepine, tiếp tục sử dụng dù có hậu quả tiêu cực (như vấn đề quan hệ, rủi ro sức khỏe)"
Rối loạn sử dụng benzodiazepine,Điều trị,Benzodiazepine Use Disorder,"Giảm dần benzodiazepine dưới giám sát y tế, tư vấn hoặc liệu pháp (như liệu pháp hành vi nhận thức), nhóm hỗ trợ, giải quyết yếu tố tâm lý hoặc xã hội cơ bản, thay đổi lối sống, giải quyết tình trạng sức khỏe tâm thần đồng mắc, chiến lược giảm hại, theo dõi và hỗ trợ liên tục"
Rối loạn sử dụng benzodiazepine,Nguyên nhân,Benzodiazepine Use Disorder,Lạm dụng benzodiazepine do sử dụng kéo dài hoặc phụ thuộc
Rối loạn sử dụng chất gây ảo giác,Triệu chứng,Hallucinogen Use Disorder,"Thay đổi nhận thức thực tế, ảo giác thị giác hoặc thính giác, thay đổi trải nghiệm giác quan, suy nghĩ nội tâm, cảm giác kết nối hoặc ngắt kết nối, lo âu hoặc hoang tưởng (ở một số người), hồi tưởng (ở một số người)"
Rối loạn sử dụng chất gây ảo giác,Điều trị,Hallucinogen Use Disorder,"Tư vấn hoặc liệu pháp (như liệu pháp hành vi nhận thức, phỏng vấn tạo động lực), nhóm hỗ trợ, giải quyết yếu tố tâm lý hoặc xã hội cơ bản, chiến lược giảm hại, theo dõi và hỗ trợ liên tục"
Rối loạn sử dụng chất gây ảo giác,Nguyên nhân,Hallucinogen Use Disorder,Sử dụng chất gây ảo giác như LSD hoặc psilocybin dẫn đến phụ thuộc tâm lý
Rối loạn sử dụng chất kích thích,Triệu chứng,Stimulant Use Disorder,"Tăng năng lượng và tỉnh táo, hưng phấn, giảm cảm giác thèm ăn, tăng nhịp tim và huyết áp, mất ngủ, bồn chồn, cáu kỉnh, hoang tưởng, tâm thần (trong trường hợp nặng)"
Rối loạn sử dụng chất kích thích,Điều trị,Stimulant Use Disorder,"Tư vấn hoặc liệu pháp (như liệu pháp hành vi nhận thức, phỏng vấn tạo động lực), nhóm hỗ trợ, thuốc (nếu áp dụng), giải quyết yếu tố tâm lý hoặc xã hội cơ bản, thay đổi lối sống, giải quyết tình trạng sức khỏe tâm thần đồng mắc, chiến lược giảm hại, theo dõi và hỗ trợ liên tục"
Rối loạn sử dụng chất kích thích,Nguyên nhân,Stimulant Use Disorder,Lạm dụng chất kích thích như cocaine hoặc amphetamine
Rối loạn sử dụng cần sa,Triệu chứng,Cannabis Use Disorder,"Tăng cảm giác thèm ăn, thư giãn, thay đổi nhận thức thời gian, suy giảm trí nhớ và sự tập trung, mắt đỏ, lo âu hoặc hoang tưởng (ở một số người), triệu chứng cai (như cáu kỉnh, mất ngủ) khi cố gắng ngừng hoặc giảm sử dụng cần sa, tiếp tục sử dụng dù có hậu quả tiêu cực (như vấn đề quan hệ, khó khăn công việc)"
Rối loạn sử dụng cần sa,Điều trị,Cannabis Use Disorder,"Tư vấn hoặc liệu pháp (như liệu pháp hành vi nhận thức, phỏng vấn tạo động lực), nhóm hỗ trợ, giải quyết yếu tố tâm lý hoặc xã hội cơ bản, thay đổi lối sống, giải quyết tình trạng sức khỏe tâm thần đồng mắc, chiến lược giảm hại, theo dõi và hỗ trợ liên tục"
Rối loạn sử dụng cần sa,Nguyên nhân,Cannabis Use Disorder,Nghiện cần sa do sử dụng kéo dài hoặc yếu tố tâm lý
Rối loạn sử dụng opioid,Triệu chứng,Opioid Use Disorder,"Sử dụng opioid bắt buộc, khao khát hoặc thèm opioid mạnh mẽ, không thể kiểm soát hoặc giảm sử dụng opioid, triệu chứng cai (như buồn nôn, đau cơ, lo âu) khi cố gắng ngừng hoặc giảm sử dụng, dung nạp với opioid, tiếp tục sử dụng dù có hậu quả tiêu cực (như vấn đề pháp lý, sức khỏe)"
Rối loạn sử dụng opioid,Điều trị,Opioid Use Disorder,"Điều trị hỗ trợ bằng thuốc (như methadone, buprenorphine, naltrexone), tư vấn hoặc liệu pháp (như liệu pháp hành vi nhận thức, quản lý tình huống), nhóm hỗ trợ (như Narcotics Anonymous), chiến lược giảm hại, giải quyết yếu tố tâm lý hoặc xã hội cơ bản, thay đổi lối sống, theo dõi và hỗ trợ liên tục"
Rối loạn sử dụng opioid,Nguyên nhân,Opioid Use Disorder,Nghiện opioid do lạm dụng thuốc giảm đau hoặc chất gây nghiện
Rối loạn sử dụng rượu,Triệu chứng,Alcohol Use Disorder,"Thèm rượu, không thể kiểm soát hoặc hạn chế uống rượu, triệu chứng cai (như run, lo âu, đổ mồ hôi) khi cố gắng ngừng hoặc giảm uống, tiếp tục sử dụng dù có hậu quả tiêu cực (như vấn đề quan hệ, sức khỏe), bỏ bê trách nhiệm, dung nạp với rượu"
Rối loạn sử dụng rượu,Điều trị,Alcohol Use Disorder,"Giải độc (nếu cần), tư vấn hoặc liệu pháp (như liệu pháp hành vi nhận thức, phỏng vấn tạo động lực), nhóm hỗ trợ (như Alcoholics Anonymous), thuốc (như disulfiram, naltrexone, acamprosate), giải quyết yếu tố tâm lý hoặc xã hội cơ bản, thay đổi lối sống, theo dõi và hỗ trợ liên tục"
Rối loạn sử dụng rượu,Nguyên nhân,Alcohol Use Disorder,"Nghiện rượu do yếu tố tâm lý, xã hội hoặc di truyền"
"Rối loạn sử dụng thuốc an thần, thôi miên hoặc giảm lo âu",Triệu chứng,"Sedative, Hypnotic, or Anxiolytic Use Disorder","An thần, thư giãn, giảm lo âu, buồn ngủ, phối hợp kém, suy giảm trí nhớ, triệu chứng cai (như lo âu tái phát, mất ngủ, run) khi cố gắng ngừng hoặc giảm sử dụng, tiếp tục sử dụng dù có hậu quả tiêu cực (như vấn đề quan hệ, rủi ro sức khỏe)"
"Rối loạn sử dụng thuốc an thần, thôi miên hoặc giảm lo âu",Điều trị,"Sedative, Hypnotic, or Anxiolytic Use Disorder","Giảm dần thuốc an thần, thôi miên hoặc giảm lo âu dưới giám sát y tế, tư vấn hoặc liệu pháp (như liệu pháp hành vi nhận thức), nhóm hỗ trợ, giải quyết yếu tố tâm lý hoặc xã hội cơ bản, thay đổi lối sống, giải quyết tình trạng sức khỏe tâm thần đồng mắc, chiến lược giảm hại, theo dõi và hỗ trợ liên tục"
"Rối loạn sử dụng thuốc an thần, thôi miên hoặc giảm lo âu",Nguyên nhân,"Sedative, Hypnotic, or Anxiolytic Use Disorder",Phụ thuộc vào thuốc an thần hoặc thôi miên do sử dụng kéo dài
Rối loạn tránh/hạn chế ăn uống,Triệu chứng,Avoidant/Restrictive Food Intake Disorder (ARFID),"Tránh hoặc hạn chế một số loại thực phẩm hoặc toàn bộ nhóm thực phẩm, giảm cân đáng kể hoặc không tăng cân"
Rối loạn tránh/hạn chế ăn uống,Điều trị,Avoidant/Restrictive Food Intake Disorder (ARFID),"Tư vấn dinh dưỡng, tâm lý trị liệu (như liệu pháp hành vi nhận thức hoặc liệu pháp gia đình), theo dõi y tế, liệu pháp tiếp xúc, liệu pháp nghề nghiệp"
Rối loạn tránh/hạn chế ăn uống,Nguyên nhân,Avoidant/Restrictive Food Intake Disorder (ARFID),"Lo âu, trải nghiệm tiêu cực với thực phẩm, hoặc rối loạn giác quan"
Rối loạn trầm cảm dai dẳng,Triệu chứng,Dysthymic Disorder,"Triệu chứng trầm cảm kéo dài (tâm trạng thấp, thiếu hứng thú, thay đổi giấc ngủ và khẩu vị), kéo dài ít nhất hai năm"
Rối loạn trầm cảm dai dẳng,Điều trị,Dysthymic Disorder,"Tâm lý trị liệu (liệu pháp hành vi nhận thức, liệu pháp giao tiếp), thuốc chống trầm cảm"
Rối loạn trầm cảm dai dẳng,Nguyên nhân,Dysthymic Disorder,Rối loạn tâm trạng mãn tính
Rối loạn tuyến yên,Triệu chứng,Pituitary Disorder,"Các triệu chứng khác nhau tùy thuộc vào rối loạn cụ thể, bao gồm mất cân bằng hormone"
Rối loạn tuyến yên,Điều trị,Pituitary Disorder,"Điều trị phụ thuộc vào rối loạn tuyến yên cụ thể và có thể bao gồm thuốc, phẫu thuật, liệu pháp thay thế hormone"
Rối loạn tuyến yên,Nguyên nhân,Pituitary Disorder,Bất thường chức năng tuyến yên
Rối loạn tăng động giảm chú ý,Triệu chứng,Attention Deficit Hyperactivity Disorder (ADHD),"Không chú ý, tăng động, bốc đồng"
Rối loạn tăng động giảm chú ý,Điều trị,Attention Deficit Hyperactivity Disorder (ADHD),"Liệu pháp hành vi, chương trình đào tạo cho phụ huynh, thuốc (như chất kích thích hoặc không kích thích), kế hoạch giáo dục cá nhân (IEPs) để hỗ trợ học tập, điều chỉnh và sửa đổi trong trường học, giáo dục tâm lý, tư vấn"
Rối loạn tăng động giảm chú ý,Nguyên nhân,Attention Deficit Hyperactivity Disorder (ADHD),"Rối loạn phát triển thần kinh, thường do di truyền hoặc yếu tố môi trường"
Rối loạn ăn uống quá mức,Triệu chứng,Binge Eating Disorder,Các đợt ăn uống quá mức lặp đi lặp lại mà không có hành vi bù trừ
Rối loạn ăn uống quá mức,Điều trị,Binge Eating Disorder,"Tâm lý trị liệu (như liệu pháp hành vi nhận thức hoặc liệu pháp giữa các cá nhân), tư vấn dinh dưỡng, thuốc (trong một số trường hợp), nhóm hỗ trợ"
Rối loạn ăn uống quá mức,Nguyên nhân,Binge Eating Disorder,"Căng thẳng tâm lý, rối loạn cảm xúc, hoặc yếu tố di truyền"
Rối loạn ăn uống được chỉ định khác,Triệu chứng,Other Specified Feeding or Eating Disorder (OSFED),Triệu chứng không đáp ứng đầy đủ tiêu chí của rối loạn ăn uống cụ thể
Rối loạn ăn uống được chỉ định khác,Điều trị,Other Specified Feeding or Eating Disorder (OSFED),"Điều trị dựa trên triệu chứng cụ thể và có thể bao gồm kết hợp tâm lý trị liệu, tư vấn dinh dưỡng, theo dõi y tế, và thuốc nếu cần"
Rối loạn ăn uống được chỉ định khác,Nguyên nhân,Other Specified Feeding or Eating Disorder (OSFED),"Yếu tố tâm lý, xã hội, hoặc sinh học đa dạng"
Rối loạn đông máu,Triệu chứng,Coagulation (Bleeding) Disorder,"Dễ bầm tím, chảy máu kéo dài sau chấn thương hoặc phẫu thuật, chảy máu quá mức từ vết cắt nhỏ, chảy máu mũi thường xuyên, chảy máu kinh nguyệt nặng"
Rối loạn đông máu,Điều trị,Coagulation (Bleeding) Disorder,"Truyền máu, liệu pháp thay thế yếu tố đông máu, thuốc để kích thích đông máu, thay đổi lối sống, phẫu thuật (trong một số trường hợp)"
Rối loạn đông máu,Nguyên nhân,Coagulation (Bleeding) Disorder,Thiếu yếu tố đông máu hoặc rối loạn chức năng
Rụng tóc,Triệu chứng,Alopecia,"Rụng tóc hoặc hói, rụng tóc từng mảng hoặc toàn phần"
Rụng tóc,Điều trị,Alopecia,"Thuốc bôi tại chỗ (minoxidil), thuốc uống (finasteride), tiêm steroid, cấy ghép tóc, tóc giả hoặc tóc nối"
Rụng tóc,Nguyên nhân,Alopecia,"Rối loạn tự miễn, căng thẳng hoặc di truyền"
Sa cơ quan vùng chậu,Triệu chứng,Pelvic Organ Prolapse,"Áp lực hoặc nặng vùng chậu, tiểu không kiểm soát, khó đi tiêu, khó chịu hoặc đau khi quan hệ"
Sa cơ quan vùng chậu,Điều trị,Pelvic Organ Prolapse,"Bài tập sàn chậu, sử dụng vòng nâng, liệu pháp hormone, sửa chữa phẫu thuật (trong trường hợp nặng)"
Sa cơ quan vùng chậu,Nguyên nhân,Pelvic Organ Prolapse,"Yếu cơ sàn chậu, thường do sinh nở hoặc tuổi tác"
Suy thận,Triệu chứng,Kidney Failure,"Giảm lượng nước tiểu, giữ nước, mệt mỏi, khó thở, buồn nôn, lú lẫn, đau ngực, co giật"
Suy thận,Điều trị,Kidney Failure,"Điều trị phụ thuộc vào nguyên nhân cơ bản và có thể bao gồm thuốc để quản lý huyết áp và triệu chứng, thay đổi chế độ ăn (hạn chế muối, protein và kali), lọc máu (lọc máu hoặc lọc màng bụng) hoặc ghép thận (trong suy thận giai đoạn cuối), điều trị biến chứng, quản lý cân bằng chất lỏng và điện giải, thay đổi lối sống (tập thể dục, bỏ hút thuốc, chế độ ăn lành mạnh)"
Suy thận,Nguyên nhân,Kidney Failure,Bệnh thận mãn tính hoặc tổn thương cấp tính
Sâu răng,Triệu chứng,Dental Caries,"Đau răng, nhạy cảm răng, lỗ hổng hoặc vết lõm trên răng, đốm đen trên răng, hơi thở hôi"
Sâu răng,Điều trị,Dental Caries,"Trám răng, bọc răng, điều trị tủy, nhổ răng (trong trường hợp nặng), thực hành vệ sinh miệng (đánh răng và dùng chỉ nha khoa), kiểm tra răng định kỳ, điều trị fluoride, thay đổi chế độ ăn (giảm thực phẩm và đồ uống có đường và axit), sealant nha khoa (để phòng ngừa), giáo dục về chăm sóc miệng đúng cách"
Sâu răng,Nguyên nhân,Dental Caries,Vi khuẩn phân hủy men răng do đường và vệ sinh kém
Sỏi thận,Triệu chứng,Kidney Stone,"Đau dữ dội ở hông hoặc lưng, máu trong nước tiểu, tiểu nhiều"
Sỏi thận,Điều trị,Kidney Stone,"Quản lý đau, tăng lượng nước uống, thuốc để hỗ trợ đào thải sỏi, thủ thuật hoặc phẫu thuật xâm lấn tối thiểu"
Sỏi thận,Nguyên nhân,Kidney Stone,Tích tụ khoáng chất trong thận
Sỏi tiết niệu (Sỏi thận),Triệu chứng,Urinary Stones (Kidney Stones),"Đau dữ dội ở bụng hoặc lưng, máu trong nước tiểu, tiểu nhiều, đau khi tiểu"
Sỏi tiết niệu (Sỏi thận),Điều trị,Urinary Stones (Kidney Stones),"Quản lý đau, tăng lượng nước uống, thuốc để hỗ trợ đào thải sỏi, thủ thuật hoặc phẫu thuật"
Sỏi tiết niệu (Sỏi thận),Nguyên nhân,Urinary Stones (Kidney Stones),Tích tụ khoáng chất trong thận hoặc mất nước
Sỏi tuyến dưới hàm,Triệu chứng,Submandibular stones,"Sưng, đau, khô miệng, vị khó chịu"
Sỏi tuyến dưới hàm,Điều trị,Submandibular stones,"Uống đủ nước, kích thích tiết nước bọt, loại bỏ sỏi"
Sỏi tuyến dưới hàm,Nguyên nhân,Submandibular stones,Tắc nghẽn ống dẫn nước bọt dưới hàm do khoáng chất
Sỏi tuyến mang tai,Triệu chứng,Parotid stones,"Sưng, đau, khô miệng, vị khó chịu"
Sỏi tuyến mang tai,Điều trị,Parotid stones,"Uống đủ nước, kích thích tiết nước bọt, loại bỏ sỏi"
Sỏi tuyến mang tai,Nguyên nhân,Parotid stones,Tắc nghẽn ống dẫn nước bọt mang tai do khoáng chất
Sỏi tuyến nước bọt,Triệu chứng,Sialolithiasis,"Sưng, đau, nhạy cảm, khó ăn"
Sỏi tuyến nước bọt,Điều trị,Sialolithiasis,"Chườm ấm, kích thích tiết nước bọt, thuốc tăng tiết nước bọt, loại bỏ sỏi"
Sỏi tuyến nước bọt,Nguyên nhân,Sialolithiasis,Tích tụ khoáng chất trong ống dẫn nước bọt
Sỏi tuyến nước bọt tái phát,Triệu chứng,Recurrent salivary stones,Các đợt hình thành sỏi thường xuyên
Sỏi tuyến nước bọt tái phát,Điều trị,Recurrent salivary stones,"Uống đủ nước, kích thích tiết nước bọt, loại bỏ sỏi"
Sỏi tuyến nước bọt tái phát,Nguyên nhân,Recurrent salivary stones,Tái phát sỏi do cấu trúc ống dẫn bất thường hoặc mất nước mãn tính
Sỏi ống Wharton,Triệu chứng,Wharton's duct stones,"Sưng, đau, khô miệng, vị khó chịu"
Sỏi ống Wharton,Điều trị,Wharton's duct stones,"Uống đủ nước, kích thích tiết nước bọt, loại bỏ sỏi"
Sỏi ống Wharton,Nguyên nhân,Wharton's duct stones,Tắc nghẽn ống Wharton do khoáng chất hoặc viêm
Sỏi ống mật chủ,Triệu chứng,Choledocholithiasis,"Đau bụng (thường ở phần tư trên bên phải), vàng da, nước tiểu sẫm, phân nhạt, buồn nôn, nôn, nội soi mật tụy ngược dòng (ERCP) với loại bỏ sỏi, cắt cơ vòng, cắt túi mật"
Sỏi ống mật chủ,Điều trị,Choledocholithiasis,"Các lựa chọn không phẫu thuật: Thuốc kiểm soát đau và khó chịu, kháng sinh"
Sỏi ống mật chủ,Nguyên nhân,Choledocholithiasis,Sỏi mật di chuyển từ túi mật vào ống mật chủ
Sốt thấp khớp mãn tính,Triệu chứng,Chronic Rheumatic Fever,"Đau khớp, sốt, phát ban, viêm tim"
Sốt thấp khớp mãn tính,Điều trị,Chronic Rheumatic Fever,"Kháng sinh (để điều trị nhiễm liên cầu khuẩn), thuốc chống viêm, thuốc cho biến chứng tim"
Sốt thấp khớp mãn tính,Nguyên nhân,Chronic Rheumatic Fever,Nhiễm liên cầu khuẩn không được điều trị
Sốt tinh hồng nhiệt,Triệu chứng,Scarlet Fever,"Đau họng, sốt, phát ban (đỏ, giống giấy nhám), sưng hạch"
Sốt tinh hồng nhiệt,Điều trị,Scarlet Fever,"Kháng sinh (như penicillin hoặc erythromycin), nghỉ ngơi, uống đủ nước, giảm triệu chứng"
Sốt tinh hồng nhiệt,Nguyên nhân,Scarlet Fever,Nhiễm liên cầu khuẩn nhóm A
Sốt xuất huyết Dengue,Triệu chứng,Dengue Fever,"Sốt cao, đau đầu dữ dội, đau khớp và cơ, phát ban, buồn nôn hoặc nôn, xu hướng chảy máu"
Sốt xuất huyết Dengue,Điều trị,Dengue Fever,"Chăm sóc hỗ trợ (bù nước, thuốc giảm đau, nghỉ ngơi), theo dõi, chăm sóc y tế cho trường hợp nặng (truyền dịch, truyền máu, nhập viện)"
Sốt xuất huyết Dengue,Nguyên nhân,Dengue Fever,Nhiễm virus Dengue từ muỗi cắn
Thai kỳ có nguy cơ,Triệu chứng,Threatened Pregnancy,"Chảy máu âm đạo, chuột rút bụng, đau vùng chậu"
Thai kỳ có nguy cơ,Điều trị,Threatened Pregnancy,"Nghỉ ngơi tại giường, thuốc (progesterone), theo dõi, tránh các hoạt động gây căng thẳng cho thai kỳ"
Thai kỳ có nguy cơ,Nguyên nhân,Threatened Pregnancy,Rối loạn hormone hoặc bất thường thai kỳ
Thai ngoài tử cung,Triệu chứng,Ectopic Pregnancy,"Chảy máu âm đạo, đau hoặc chuột rút bụng, đau vai (nếu ống dẫn trứng vỡ)"
Thai ngoài tử cung,Điều trị,Ectopic Pregnancy,"Chăm sóc y tế khẩn cấp, có thể dùng thuốc hoặc phẫu thuật để loại bỏ thai ngoài tử cung, theo dõi chặt chẽ, hỗ trợ tinh thần"
Thai ngoài tử cung,Nguyên nhân,Ectopic Pregnancy,"Thai làm tổ ngoài tử cung, thường do tổn thương ống dẫn trứng"
Thiếu glucocorticoid,Triệu chứng,Glucocorticoid Deficiency,"Mệt mỏi, yếu, giảm cân, huyết áp thấp, đau bụng"
Thiếu glucocorticoid,Điều trị,Glucocorticoid Deficiency,Liệu pháp thay thế hormone với thuốc glucocorticoid
Thiếu glucocorticoid,Nguyên nhân,Glucocorticoid Deficiency,Suy tuyến thượng thận hoặc rối loạn hormone
Thiếu magiê,Triệu chứng,Magnesium Deficiency,"Co giật hoặc chuột rút cơ, mệt mỏi, yếu, chán ăn, buồn nôn, nôn, cáu kỉnh, lú lẫn tinh thần, nhịp tim không đều, ngứa ran hoặc tê, thay đổi tính cách, co giật"
Thiếu magiê,Điều trị,Magnesium Deficiency,"Thay đổi chế độ ăn (ăn thực phẩm giàu magiê), bổ sung magiê đường uống, liệu pháp magiê tiêm tĩnh mạch (trong trường hợp nặng), giải quyết nguyên nhân cơ bản (ví dụ: kém hấp thu), giám sát và theo dõi y tế"
Thiếu magiê,Nguyên nhân,Magnesium Deficiency,Chế độ ăn thiếu magiê hoặc mất magiê do bệnh lý
Thiếu máu,Triệu chứng,Anemia,"Mệt mỏi, yếu, da nhợt nhạt, khó thở"
Thiếu máu,Điều trị,Anemia,"Bổ sung sắt, thay đổi chế độ ăn (thực phẩm giàu sắt), điều trị nguyên nhân cơ bản (như thiếu sắt hoặc thiếu vitamin B12), vitamin trước sinh"
Thiếu máu,Nguyên nhân,Anemia,Giảm sản xuất hồng cầu hoặc mất máu trong thai kỳ
Thiếu máu bất sản,Triệu chứng,Aplastic Anemia,"Mệt mỏi, da nhợt nhạt, nhiễm trùng thường xuyên, khó thở, nhịp tim nhanh hoặc không đều, chảy máu hoặc bầm tím kéo dài"
Thiếu máu bất sản,Điều trị,Aplastic Anemia,"Truyền máu, thuốc kích thích tủy xương, liệu pháp ức chế miễn dịch, ghép tế bào gốc (trong trường hợp nặng), chăm sóc hỗ trợ"
Thiếu máu bất sản,Nguyên nhân,Aplastic Anemia,Suy tủy xương do tự miễn hoặc độc tố
Thiếu máu cục bộ ruột,Triệu chứng,Ischemia of the Bowel,"Đau bụng nghiêm trọng, phân có máu, tiêu chảy, buồn nôn, nôn, sốt, nhịp tim nhanh, huyết áp thấp"
Thiếu máu cục bộ ruột,Điều trị,Ischemia of the Bowel,"Xét nghiệm chẩn đoán, truyền dịch và thuốc để ổn định bệnh nhân, nghỉ ruột, phẫu thuật cắt bỏ, thủ thuật bypass, có thể làm thông mạch"
Thiếu máu cục bộ ruột,Nguyên nhân,Ischemia of the Bowel,"Tắc nghẽn mạch máu nuôi ruột, thường do huyết khối hoặc thuyên tắc"
Thiếu máu do bệnh mãn tính,Triệu chứng,Anemia of Chronic Disease,"Mệt mỏi, yếu, da nhợt nhạt, khó thở, giảm khả năng vận động"
Thiếu máu do bệnh mãn tính,Điều trị,Anemia of Chronic Disease,"Điều trị bệnh mãn tính cơ bản, xử lý thiếu hụt dinh dưỡng, truyền máu (trong trường hợp nặng)"
Thiếu máu do bệnh mãn tính,Nguyên nhân,Anemia of Chronic Disease,Viêm mãn tính hoặc bệnh lý lâu dài
Thiếu máu do bệnh thận mãn tính,Triệu chứng,Anemia due to Chronic Kidney Disease,"Mệt mỏi, yếu, da nhợt nhạt"
Thiếu máu do bệnh thận mãn tính,Điều trị,Anemia due to Chronic Kidney Disease,"Tác nhân kích thích tạo hồng cầu (ESA), bổ sung sắt, truyền máu (trong trường hợp nặng)"
Thiếu máu do bệnh thận mãn tính,Nguyên nhân,Anemia due to Chronic Kidney Disease,Suy thận làm giảm sản xuất erythropoietin
Thiếu máu do ung thư,Triệu chứng,Anemia due to Malignancy,"Mệt mỏi, yếu, khó thở, da nhợt nhạt"
Thiếu máu do ung thư,Điều trị,Anemia due to Malignancy,"Điều trị ung thư cơ bản, truyền máu, thuốc (tác nhân kích thích tạo hồng cầu, bổ sung sắt)"
Thiếu máu do ung thư,Nguyên nhân,Anemia due to Malignancy,Ung thư ảnh hưởng đến sản xuất hồng cầu
Thiếu máu tan huyết,Triệu chứng,Hemolytic Anemia,"Mệt mỏi, yếu, da nhợt nhạt, khó thở, vàng da"
