Question,Name,Intent,Scientific_name,Answer
"Tôi bị viêm tiểu phế quản, có triệu chứng gì và nên làm gì để bớt đau?",viêm tiểu phế quản,"['Triệu chứng', 'Điều trị']",Bronchiolitis,"Triệu chứng: Sổ mũi, Nghẹt mũi, Ho, Sốt nhẹ, Nôn, Có tiếng khò khè, Da chuyển sang tím tái ở môi hoặc móng tay, Môi xanh hoặc da xanh. Điều trị: Thuốc kháng sinh, Thuốc corticosteroid đường uống hoặc hít, Thiết bị thở oxy để duy trì nồng độ oxy"
Bệnh xoắn ruột có triệu chứng gì và nguyên nhân từ đâu?,xoắn ruột,"['Triệu chứng', 'Nguyên nhân']",Volvulus,"Triệu chứng: Đau bụng, buồn nôn, nôn, đầy hơi, táo bón, phân có máu. Nguyên nhân: Ruột xoắn do bất thường cấu trúc"
"Đau khớp do viêm âm đạo, là vì lý do gì?",viêm âm đạo,['Nguyên nhân'],Vaginitis,"Mất cân bằng hệ vi sinh vật, nhiễm vi khuẩn, nấm hoặc kích ứng do hóa chất, dị ứng"
Bệnh viêm da tiếp xúc biểu hiện ra sao và có cách nào điều trị không?,viêm da tiếp xúc,"['Triệu chứng', 'Điều trị']",Contact Dermatitis,"Triệu chứng: Da đỏ, ngứa, có mụn nước hoặc phồng rộp tại vùng tiếp xúc trực tiếp với chất gây dị ứng. Điều trị: Rửa sạch vùng da, dùng kem corticosteroid và thuốc kháng histamin, tránh tác nhân gây kích ứng"
Đau ở tăng sản nội mạc tử cung là bệnh gì và do nguyên nhân gì?,tăng sản nội mạc tử cung,"['Triệu chứng', 'Nguyên nhân']",Endometrial Hyperplasia,"Triệu chứng: Kinh nguyệt không đều, chảy máu sau mãn kinh, đau bụng nhẹ. Nguyên nhân: Tăng estrogen không cân bằng với progesterone, béo phì, dùng thuốc estrogen đơn độc"
Bị sỏi tuyến nước bọt tái phát thì có cách nào bớt khó chịu không?,sỏi tuyến nước bọt tái phát,['Điều trị'],Recurrent salivary stones,"Uống đủ nước, kích thích tiết nước bọt, loại bỏ sỏi"
"Bệnh tràn khí màng phổi làm tôi mệt, tại sao vậy?",tràn khí màng phổi,['Triệu chứng'],Pneumothorax,Đau ngực đột ngột; Khó thở; Choáng
"Tôi bị viêm khớp dạng thấp, triệu chứng ra sao và vì sao vậy?",viêm khớp dạng thấp,"['Triệu chứng', 'Nguyên nhân']",Rheumatoid Arthritis,"Triệu chứng: người bệnh đau nhức và sưng viêm ở cả hai khớp đối xứng nhau trên cơ thể, ví dụ như cả hai đầu gối hoặc hai cổ tay.. Nguyên nhân: do sự kết hợp của các yếu tố di truyền, hormone và tác nhân từ môi trường"
Bị khí phế thũng thì có gì bất thường không?,khí phế thũng,['Triệu chứng'],Emphysema,"Khó thở, thở khò khè, ho mãn tính, tức ngực, mệt mỏi, giảm cân"
"Bệnh rối loạn trầm cảm dai dẳng làm tôi mệt, tại sao vậy?",rối loạn trầm cảm dai dẳng,['Nguyên nhân'],Dysthymic Disorder,Rối loạn tâm trạng mãn tính
Bệnh ngộ độc ethylene glycol-2 gây ra triệu chứng gì và tôi cần làm gì để giảm?,ngộ độc ethylene glycol-2,"['Triệu chứng', 'Điều trị']",Ethylene glycol poisoning-2,"Triệu chứng: Toan chuyển hóa, thở nhanh, nhịp tim nhanh, lú lẫn, đau đầu, chóng mặt, co giật. Điều trị: Xét nghiệm máu, các biện pháp hỗ trợ, làm sạch dạ dày, sử dụng thuốc giải độc, lọc máu"
"Đau khớp do hội chứng đau bàng quang, có phải bệnh nghiêm trọng không?",hội chứng đau bàng quang,['Triệu chứng'],Bladder pain syndrome,"Triệu chứng đau bàng quang ở nam giới: Đau, áp lực ở vùng bụng dưới, nhất là khu vực xung quanh bàng quang, Đau, rát khi tiểu tiện, Tiểu thường xuyên, nhiều hơn bình thường, Cảm giác tiểu không hết, Nước tiểu có màu đỏ hoặc hồng do có lẫn máu trong nước tiểu; Triệu chứng đau bàng quang ở nữ giới: Đau, áp lực vùng bụng dưới,Đau khi tiểu tiện, nhiều người cảm giác bị rát, Tiểu không hết, tiểu nhiều hơn bình thường"
Bệnh mụn rộp môi gây ra triệu chứng gì và tôi cần làm gì để giảm?,mụn rộp môi,"['Triệu chứng', 'Điều trị']",Cold Sore,"Triệu chứng: Phồng rộp nhỏ, đau trên môi hoặc quanh miệng. Điều trị: Thuốc kháng virus (bôi hoặc uống), thuốc giảm đau, kem kháng virus, biện pháp tự chăm sóc"
"Đau ở múa giật huntington mãi không hết, do đâu vậy?",múa giật huntington,['Nguyên nhân'],Huntington's chorea,"Tiền sử mắc bệnh Lupus ban đỏ hệ thống, Mắc các bệnh về nhiễm trùng, Các bệnh lý di truyền, Mắc AIDS, Thuốc an thần hay levodopa, Rối loạn nội tiết, Hạ đường huyết"
Bệnh xơ cứng bì biểu hiện ra sao và có cách nào điều trị không?,xơ cứng bì,"['Triệu chứng', 'Điều trị']",Scleroderma,"Triệu chứng: Dày da, hiện tượng Raynaud. Điều trị: Thuốc (thuốc ức chế miễn dịch), liệu pháp, quản lý triệu chứng"
Bị tăng huyết áp thai kỳ thì có cách nào bớt khó chịu không?,tăng huyết áp thai kỳ,['Điều trị'],Gestational Hypertension,Theo dõi chặt chẽ; thay đổi lối sống; dùng thuốc hạ huyết áp an toàn cho thai kỳ
Tôi bị liệt dây thần kinh mặt vì lý do gì và có phương pháp chữa nào hiệu quả?,liệt dây thần kinh mặt,"['Nguyên nhân', 'Điều trị']",Facial nerve palsy,"Nguyên nhân: Liệt mặt vô căn, Bệnh lý mạch máu não, Tai biến trong can thiệp y khoa, Nhiễm trùng, Bệnh lý thần kinh, Ưng thư, Tăng huyết áp thai kỳ, Bệnh lý mạch máu não, Khối u trong sọ, Giang mai, HIV, Bệnh lý viêm mạch. Điều trị: Phẫu thuật giảm phù nề, Chèn ép trong ống xương, Dùng thuốc chống virus, Châm cứu dây thần kinh số 7, Vật lý trị liệu"
"Tôi hay bị đau ở thủy đậu, đó là dấu hiệu gì?",thủy đậu,['Triệu chứng'],Varicella,"Phát ban ngứa, mụn nước có vảy; sốt, mệt mỏi, không ăn uống được"
"Tôi bị viêm xoang mãn tính và thấy mệt, có cần đi bác sĩ không?",viêm xoang mãn tính,['Triệu chứng'],Chronic Sinusitis,"Đau hoặc áp lực mặt, nghẹt mũi, tiết dịch mũi đặc, nhỏ giọt sau mũi, ho, mệt mỏi"
"Tôi bị u mí mắt, tôi muốn biết tại sao, cách điều trị và triệu chứng của bệnh.",u mí mắt,"['Triệu chứng', 'Điều trị', 'Nguyên nhân']",Chalazion,"Triệu chứng: Khối u đau, đỏ hoặc sưng trên mí mắt, thường ở mí trên, nhạy cảm với ánh sáng, mờ mắt (nếu u mí ảnh hưởng đến đường nhìn), khó chịu nhẹ, nhạy cảm, viêm và sưng cục bộ. Điều trị: Chườm ấm (để làm mềm và thúc đẩy dẫn lưu tuyến dầu bị tắc), massage nhẹ vùng bị ảnh hưởng, vệ sinh mí mắt (giữ vùng sạch sẽ), thuốc nhỏ mắt bôi trơn không kê đơn, thuốc mỡ kháng sinh tại chỗ (nếu có nguy cơ nhiễm trùng), tiêm corticosteroid (đối với u mí lớn hoặc kéo dài), dẫn lưu hoặc cắt bỏ phẫu thuật (trong trường hợp hiếm hoặc nếu điều trị bảo tồn không hiệu quả). Nguyên nhân: Tắc nghẽn tuyến dầu ở mí mắt, thường do viêm hoặc tích tụ dầu"
"Tôi bị viêm phế quản co thắt, có triệu chứng gì và vì lý do gì?",viêm phế quản co thắt,"['Triệu chứng', 'Nguyên nhân']",Spastic Bronchitis,"Triệu chứng: Ho khan hay ho đờm; viêm đường hô hấp; Sốt ; Sổ mũi, Nghẹt mũi; Tiết đờm. Nguyên nhân: Tiền sử mắc bệnh hen suyễn, Cơ địa mẫn cảm ; Dị nguyên bên ngoài như: khói bụi, lông động vật, khói thuốc lá, phấn hoa, nấm mốc; Thay đổi nhiệt độ đột ngột"
Bệnh hội chứng qt kéo dài có dấu hiệu gì và làm sao để bớt khó chịu?,hội chứng qt kéo dài,"['Triệu chứng', 'Điều trị']",Long QT Syndrome,Triệu chứng: Đột quỵ; bất đồng loạt nhịp tim; nguy cơ tử vong đột ngột. Điều trị: Thuốc chống loạn nhịp; cấy máy khử rung tim; tránh dùng thuốc kéo dài QT
"Cơ thể tôi yếu khi bị gãy xương, chuyện gì thế?",gãy xương,['Triệu chứng'],Fracture,"đau đột ngột tại chỗ gãy, sưng, bầm tím, khiến xương bị xô lệch và không thể vận động như thường"
Bệnh hội chứng turner do đâu và làm sao để bớt đau?,hội chứng turner,"['Nguyên nhân', 'Điều trị']",Turner Syndrome,"Nguyên nhân: Bất thường nhiễm sắc thể (45,X). Điều trị: Liệu pháp hormone tăng trưởng, hormone sinh dục, can thiệp tim mạch"
Bệnh chứng ăn tạp có dấu hiệu gì và do đâu?,chứng ăn tạp,"['Triệu chứng', 'Nguyên nhân']",Pica,"Triệu chứng: Tiêu thụ liên tục các chất không phải thực phẩm. Nguyên nhân: Thiếu hụt dinh dưỡng, rối loạn tâm lý, hoặc rối loạn phát triển"
Bệnh rối loạn canxi máu có phải từ gia đình tôi di truyền không?,rối loạn canxi máu,['Nguyên nhân'],Calcium Homeostasis Disorders,"Rối loạn hormone parathyroid, suy thận, thiếu hụt vitamin D"
"Đau ở túi thừa đại tràng là bệnh gì, tại sao, và có cách nào giảm không?",túi thừa đại tràng,"['Triệu chứng', 'Điều trị', 'Nguyên nhân']",Diverticulosis,"Triệu chứng: Đau bụng, đầy hơi, thay đổi thói quen đại tiện. Điều trị: Chế độ ăn giàu chất xơ, thuốc (giảm đau, kháng sinh). Nguyên nhân: Yếu thành đại tràng hoặc chế độ ăn ít chất xơ"
"Tôi bị virus tây sông nile, tôi muốn biết tại sao, những cách điều trị của bệnh.",virus tây sông nile,"['Nguyên nhân', 'Điều trị']",West Nile Virus,"Nguyên nhân: Nhiễm virus từ muỗi cắn. Điều trị: Chăm sóc hỗ trợ, quản lý triệu chứng, ngăn ngừa muỗi đốt"
"Tôi hay bị đau ở cương đau dương vật, đó là dấu hiệu gì?",cương đau dương vật,['Triệu chứng'],Priapism,"Cương cứng kéo dài, đau đớn"
"Tôi thấy khó chịu ở rối loạn canxi máu, phải làm sao để hết?",rối loạn canxi máu,['Triệu chứng'],Calcium Homeostasis Disorders,"Tê liệt, co giật cơ, mệt mỏi, rối loạn nhịp tim"
"Tôi thấy khó chịu ở loạn thị, phải làm sao để hết?",loạn thị,['Điều trị'],Astigmatism,"Kính mắt, kính áp tròng, phẫu thuật chỉnh hình (LASIK, PRK), chỉnh hình giác mạc, kính nội nhãn toric"
"Tôi bị mề đay, cảm thấy thế nào, do đâu, và nên làm gì để khỏe?",mề đay (phát ban),"['Triệu chứng', 'Điều trị', 'Nguyên nhân']",Urticaria (Hives),"Triệu chứng: Nổi mề đay ngứa trên da. Điều trị: Thuốc kháng histamine, tránh kích ứng, corticosteroid (trong trường hợp nặng). Nguyên nhân: Phản ứng dị ứng hoặc căng thẳng"
"Tôi bị hội chứng goodpasture, tôi muốn biết tại sao, cách điều trị và triệu chứng của bệnh.",hội chứng goodpasture,"['Triệu chứng', 'Điều trị', 'Nguyên nhân']",Goodpasture’s Syndrome,"Triệu chứng: Mệt mỏi, Suy nhược cơ thể; Buồn nôn, nôn; Khó thở; Da xanh; Ảnh hưởng đến phổi: Ho khan, Khó thở nhẹ, Có thể xuất hiện ho ra máu, Thiếu máu do xuất huyết phổi trong thời gian dài; Ảnh hưởng đến thận: Ăn không ngon miệng, Cơ thể mệt mỏi, Khó chịu, Tiểu ra máu, Tiểu có bọt, Cao huyết áp. Điều trị: Chống kháng cơ thể có hại, Kiểm soát việc tích tụ chất lỏng, Kiểm soát tình trạng huyết áp, Ngăn chặn bệnh phổi và thận; Nội khoa bằng thuốc: Thuốc ức chế miễn dịch sử dụng bằng đường uống, Corticoid tiêm tĩnh mạch, Thuốc kiểm soát dịch tụ. Nguyên nhân: Do di truyền, Rối loạn tự miễn tấn công phổi và thận"
"Cơ thể tôi yếu khi bị hiv/aids, chuyện gì thế?",hiv/aids,['Triệu chứng'],Human Immunodeficiency Virus infection,"Sụt cân, sốt, mệt mỏi, nhiễm trùng cơ hội, tiêu chảy"
"Tôi bị thận đa nang, có triệu chứng gì và vì lý do gì?",thận đa nang,"['Triệu chứng', 'Nguyên nhân']",Polycystic kidney,"Triệu chứng: Đau bụng, huyết áp cao, nang thận. Nguyên nhân: Rối loạn di truyền gây nang trong thận"
Bị gút thì có triệu chứng gì và nguyên nhân là gì?,gút,"['Triệu chứng', 'Nguyên nhân']",Gout,"Triệu chứng: Đau khớp dữ dội, sưng, đỏ. Nguyên nhân: Tăng axit uric trong máu"
"Tôi bị hội chứng tăng bạch cầu ái toan ở phổi, nên làm gì để mau khỏe lại?",hội chứng tăng bạch cầu ái toan ở phổi,['Điều trị'],Eosinophilic Pneumonia,"Dùng corticosteroid để giảm xưng; Liệu pháp oxy và glucocorticoid; Thở máy, Dùng kháng sinh"
"Tôi bị viêm xoang cấp, cảm thấy thế nào và nên làm gì để khỏe?",viêm xoang cấp,"['Triệu chứng', 'Điều trị']",Acute Sinusitis,"Triệu chứng: Đau hoặc áp lực mặt, nghẹt mũi, tiết dịch mũi đặc, nhỏ giọt sau mũi, ho, đau đầu, mệt mỏi, sốt (trong một số trường hợp). Điều trị: Biện pháp tại nhà (như rửa mũi bằng nước muối, hít hơi nước), thuốc giảm đau không kê đơn (như acetaminophen hoặc ibuprofen), thuốc thông mũi (sử dụng ngắn hạn), corticosteroid mũi (để giảm viêm), uống nhiều nước và nghỉ ngơi, chườm ấm, tránh chất kích thích (như khói hoặc dị nguyên), kháng sinh theo toa (nếu nghi ngờ hoặc xác nhận nhiễm khuẩn), quản lý nguyên nhân cơ bản (như dị ứng hoặc polyp mũi), thuốc giảm triệu chứng (như thuốc giảm ho hoặc kháng histamine)"
Bệnh thoát vị khe hoành xuất phát từ đâu và tôi nên làm gì để giảm triệu chứng?,thoát vị khe hoành,"['Nguyên nhân', 'Điều trị']",Hiatal Hernia,"Nguyên nhân: Yếu cơ hoành hoặc áp lực trong ổ bụng tăng. Điều trị: Thay đổi lối sống, thuốc (kháng axit, chất ức chế bơm proton)"
"Cơ thể tôi yếu khi bị thai kỳ có nguy cơ, nên ăn gì để khỏe lại?",thai kỳ có nguy cơ,['Điều trị'],Threatened Pregnancy,"Nghỉ ngơi tại giường, thuốc (progesterone), theo dõi, tránh các hoạt động gây căng thẳng cho thai kỳ"
Bị lý võng mạc tiểu đường thì người ta hay cảm thấy thế nào?,lý võng mạc tiểu đường,['Triệu chứng'],Diabetic retinopathy,"Tầm nhìn mờ hoặc méo mó, chấm nổi, giảm khả năng nhận biết màu sắc, vùng tối hoặc trống trong trường nhìn, mất thị lực"
Bệnh hiv/aids có dấu hiệu nào đặc biệt và có thuốc gì giúp không?,hiv/aids,"['Triệu chứng', 'Điều trị']",Human Immunodeficiency Virus infection,"Triệu chứng: Sụt cân, sốt, mệt mỏi, nhiễm trùng cơ hội, tiêu chảy. Điều trị: Hiện chưa có thuốc điều trị đặc hiệu, tuy nhiên người bệnh sẽ được điều trị bằng thuốc để làm chậm quá trình phát triển của virus HIV."
"Tôi bị suy hô hấp mạn tính, triệu chứng ra sao và vì sao vậy?",suy hô hấp mạn tính,"['Triệu chứng', 'Nguyên nhân']",Chronic Respiratory Failure,"Triệu chứng: Khó thở, cảm giác không thể hít thở đủ không khí; Thở gấp hoặc thở quá chậm; Thức giấc giữa đêm; Lú lẫn, Hay quên, Mệt mỏi; Thường xuyên bị đau đầu, luôn cảm thấy buồn ngủ; Khò khè, Ho có đờm; Sưng phù tay chân; Móng tay, da, môi có màu hơi xanh, tím. Nguyên nhân: Tiền sử mắc các bệnh: Bệnh phổi tắc nghẽn mạn tính, Bệnh thần kinh cơ, Bệnh tim bẩm sinh, Ung thư phổi, Viêm phổi; Lạm dụng thuốc lá, ma túy, Chấn thương ngực hoặc xương sườn; Tổn thương tủy sống "
"Tôi bị amyloid, tôi muốn biết tại sao, cách điều trị và triệu chứng của bệnh.",amyloid,"['Triệu chứng', 'Điều trị', 'Nguyên nhân']",Amyloidosis,"Triệu chứng: Mệt mỏi, giảm cân, rối loạn chức năng cơ quan. Điều trị: Điều trị phụ thuộc vào loại và mức độ tổn thương cơ quan. Nguyên nhân: Tích tụ protein amyloid bất thường trong mô"
"Tôi bị nám và thấy đau, do đâu mà có?",nám (“nám bà bầu”),['Nguyên nhân'],Melasma,"Thay đổi nội tiết (đặc biệt ở thai kỳ), di truyền và tác động của tia UV"
Tôi bị glaucoma cấp tính thì cảm thấy thế nào và tại sao?,glaucoma cấp tính,"['Triệu chứng', 'Nguyên nhân']",Acute Glaucoma,"Triệu chứng: Đau mắt nghiêm trọng, mờ mắt, quầng sáng quanh đèn. Nguyên nhân: Tăng áp suất trong mắt đột ngột"
"Bệnh hội chứng tietze làm tôi mệt, tại sao vậy?",hội chứng tietze,['Triệu chứng'],Tietze Syndrome,"Đau ngực, sưng và nhạy cảm của sụn nối xương sườn với xương ức"
"Tôi bị nhiễm nấm phổi, tôi muốn biết tại sao, những dấu hiệu của bệnh.",nhiễm nấm phổi,"['Triệu chứng', 'Nguyên nhân']",Lung fungal infection,"Triệu chứng: Sốt cao kéo dài; Ho khan; Đau ngực, cảm thấy khó chịu ở ngực; Bệnh ở phổi do nấm aspergillosis gây ra; Sưng hạch và tắc nghẽn đường dẫn khí do bệnh nấm đặc hữu gây ra; Mệt mỏi, Sụt cân, Khó thở. Nguyên nhân: Nhiễm nấm cổ điển: Cryptococcus, Histoplasmoses; Nhiễm nấm cơ hội: Candida, Aspergillus"
"Khi bị ngộ độc ethylene glycol-3, tôi sẽ thấy gì và do đâu mà có?",ngộ độc ethylene glycol-3,"['Triệu chứng', 'Nguyên nhân']",Ethylene glycol poisoning-3,"Triệu chứng: Giảm lượng nước tiểu, sưng chân và mắt cá chân, dấu hiệu quá tải chất lỏng, tổn thương thận nghiêm trọng. Nguyên nhân: Tổn thương thận do tích tụ chất chuyển hóa độc hại từ ethylene glycol"
"Tôi bị đau do viêm tuyến mồ hôi mủ, đó là bệnh gì và chữa ra sao?",viêm tuyến mồ hôi mủ,"['Triệu chứng', 'Điều trị']",Hidradenitis Suppurativa,"Triệu chứng: Xuất hiện nốt mụn đau, sưng, có mủ, thường ở vùng nách, háng, bẹn. Điều trị: Kháng sinh, corticosteroid, liệu pháp điều chỉnh miễn dịch; trong trường hợp nặng có thể cần phẫu thuật"
"Tôi bị tăng huyết áp nguyên phát, vì sao vậy và có cách nào giảm không?",tăng huyết áp nguyên phát (vô căn),"['Nguyên nhân', 'Điều trị']",Primary Hypertension,"Nguyên nhân: Yếu tố di truyền; lối sống không lành mạnh (tiêu thụ muối cao, béo phì, stress). Điều trị: Điều chỉnh lối sống; dùng thuốc hạ huyết áp (ACE inhibitors, ARBs, beta-blockers, calcium channel blockers)"
Vì sao tôi hay bị rối loạn sử dụng cần sa và có cách nào để hết không?,rối loạn sử dụng cần sa,"['Nguyên nhân', 'Điều trị']",Cannabis Use Disorder,"Nguyên nhân: Nghiện cần sa do sử dụng kéo dài hoặc yếu tố tâm lý. Điều trị: Tư vấn hoặc liệu pháp (như liệu pháp hành vi nhận thức, phỏng vấn tạo động lực), nhóm hỗ trợ, giải quyết yếu tố tâm lý hoặc xã hội cơ bản, thay đổi lối sống, giải quyết tình trạng sức khỏe tâm thần đồng mắc, chiến lược giảm hại, theo dõi và hỗ trợ liên tục"
Bệnh suy tuyến sinh dục có triệu chứng gì và nguyên nhân từ đâu?,suy tuyến sinh dục,"['Triệu chứng', 'Nguyên nhân']",Hypogonadism,"Triệu chứng: Giảm ham muốn, rối loạn chức năng sinh dục, mệt mỏi, giảm khối lượng cơ bắp, rối loạn kinh nguyệt (ở nữ). Nguyên nhân: Tổn thương tuyến sinh dục, rối loạn tín hiệu từ tuyến yên, yếu tố di truyền"
"Đau khớp do tràn máu khớp, tôi nên uống thuốc gì?",tràn máu khớp,['Điều trị'],Hemarthrosis,"Phương pháp RICE (Nghỉ ngơi, Chườm đá, Nén, Nâng cao), quản lý đau, chọc hút hoặc dẫn lưu khớp (trong trường hợp nặng)"
"Bệnh sâu răng có dấu hiệu gì, nguyên nhân là gì, và làm sao để chữa?",sâu răng,"['Triệu chứng', 'Điều trị', 'Nguyên nhân']",Dental Caries,"Triệu chứng: Đau răng, nhạy cảm răng, lỗ hổng hoặc vết lõm trên răng, đốm đen trên răng, hơi thở hôi. Điều trị: Trám răng, bọc răng, điều trị tủy, nhổ răng (trong trường hợp nặng), thực hành vệ sinh miệng (đánh răng và dùng chỉ nha khoa), kiểm tra răng định kỳ, điều trị fluoride, thay đổi chế độ ăn (giảm thực phẩm và đồ uống có đường và axit), sealant nha khoa (để phòng ngừa), giáo dục về chăm sóc miệng đúng cách. Nguyên nhân: Vi khuẩn phân hủy men răng do đường và vệ sinh kém"
"Tôi bị lupus ban đỏ hệ thống, tôi muốn biết tại sao, cách điều trị và triệu chứng của bệnh.",lupus ban đỏ hệ thống,"['Triệu chứng', 'Điều trị', 'Nguyên nhân']",SLE,"Triệu chứng: mệt mỏi, đau khớp, sưng khớp, ban đỏ trên da, đặc biệt là vết ban hình cánh bướm trên mũi và má. Điều trị: corticosteroids (prednisolone), thuốc ức chế miễn dịch (azathioprine, mycophenolate mofetil, cyclophosphamide), thuốc chống sốt rét (hydroxychloroquine), theo dõi biến chứng;. Nguyên nhân: do di truyền, môi trường (ánh nắng, thuốc lá, hóa chất,…) và sự mất cân bằng nội tiết tố."
"Đau khớp do hội chứng đau bàng quang, là vì lý do gì?",hội chứng đau bàng quang,['Nguyên nhân'],Bladder pain syndrome,"Viêm bàng quang: do vi khuẩn, Viêm bàng quang do hóa trị, Viêm bàng quang do xạ trị; Viêm bàng quang kẽ: Đau, căng tức ở bàng quang, vùng xương chậu, Nóng, rát khi đi tiểu, tiểu nhiều hơn bình thường; Viêm bàng quang kẽ có thể do nhiều yếu tố nguy cơ như: di truyền, giới tính, yếu tố môi trường và lối sống; Sỏi bàng quang; Ung thư bàng quang; Tổn thương hoặc kích thích bàng quang; Dị ứng thực phẩm"
"Đau khớp do giảm tiểu cầu, có phải bệnh nghiêm trọng không?",giảm tiểu cầu,['Triệu chứng'],Thrombocytopenia,"Dễ bầm tím, chảy máu kéo dài từ vết cắt, chấm xuất huyết (đốm đỏ hoặc tím trên da), chảy máu mũi, chảy máu kinh nguyệt quá mức"
"Tôi bị viêm dây thần kinh thị giác và thấy đau, có nguy hiểm không?",viêm dây thần kinh thị giác,['Triệu chứng'],Optic Neuritis,"Mất hoặc mờ thị lực, đau mắt khi cử động mắt, suy giảm thị lực màu, ánh sáng lóe hoặc chấm nổi"
Bệnh mụn có dấu hiệu gì và làm sao để bớt khó chịu?,mụn,"['Triệu chứng', 'Điều trị']",Acne vulgaris,"Triệu chứng: Mụn đầu đen, mụn đầu trắng, mụn bọc; có thể viêm và để lại sẹo. Điều trị: Sử dụng các sản phẩm trị mụn như benzoyl peroxide, retinoid, kháng sinh; chăm sóc và làm sạch da"
Có phải lang ben do tôi làm việc nặng quá không?,lang ben,['Nguyên nhân'],Molluscum contagiosum,"Nhiễm virus molluscum contagiosum qua tiếp xúc trực tiếp, đặc biệt ở trẻ em"
"Tôi bị pemphigus, vì sao vậy và có cách nào giảm không?",pemphigus,"['Nguyên nhân', 'Điều trị']",Pemphigus,"Nguyên nhân: Rối loạn tự miễn tấn công da và niêm mạc. Điều trị: Corticosteroid, thuốc ức chế miễn dịch, chăm sóc vết thương"
Bệnh bạch sản miệng có dấu hiệu gì và do đâu?,bạch sản miệng,"['Triệu chứng', 'Nguyên nhân']",Oral Leukoplakia,"Triệu chứng: Các mảng hoặc tấm trắng trong miệng, thường trên lưỡi hoặc bên trong má, không thể cạo bỏ. Nguyên nhân: Kích ứng mãn tính hoặc thay đổi tiền ung thư trong niêm mạc miệng"
"Khi bị cai nghiện thuốc, tôi thấy gì, do đâu, và nên làm gì để giảm triệu chứng?",cai nghiện thuốc,"['Triệu chứng', 'Điều trị', 'Nguyên nhân']",Drug Withdrawal,"Triệu chứng: Lo âu, bồn chồn, cáu kỉnh, run, đổ mồ hôi, buồn nôn, nôn, mất ngủ, thèm thuốc. Điều trị: Giảm dần thuốc dưới sự giám sát y tế, thuốc để quản lý triệu chứng cai nghiện (như benzodiazepine, clonidine, hoặc buprenorphine), liệu pháp hành vi, nhóm hỗ trợ, tư vấn, chương trình phục hồi. Nguyên nhân: Phụ thuộc thuốc sau sử dụng kéo dài"
"Tôi bị lao phổi, dấu hiệu là gì, nguyên nhân từ đâu, và có cách chữa không?",lao phổi,"['Triệu chứng', 'Điều trị', 'Nguyên nhân']",Pulmonary tuberculosis,"Triệu chứng: Ho kéo dài hơn 3 tuần, Đau ngực, Cảm thấy mệt mỏi mọi lúc, Đổ mồ hôi trộm về đêm, Sốt nhẹ, Chán ăn, Gầy sút. Điều trị: Thuốc trị lao, Thực hiện các phác đồ kháng lao theo giai đoạn. Nguyên nhân: Do vi khuẩn Mucobacterium, Do vi khuẩn lao phát tán"
"Bị sỏi ống wharton mà đau hoài, tại sao thế?",sỏi ống wharton,['Nguyên nhân'],Wharton's duct stones,Tắc nghẽn ống Wharton do khoáng chất hoặc viêm
"Tôi bị giãn phế quản và thấy đau, do đâu mà có?",giãn phế quản,['Nguyên nhân'],Bronchiectasis,"Viêm phổi nặng; Ho gà, sởi; Lao; Nhiễm nấm tại phổi; Các yếu tố khác: bệnh xơ nang, suy giảm miễn dịch, phản dị ứng"
"Tôi bị đau ở lupus, đó có phải bệnh không?",lupus,['Triệu chứng'],Lupus,"Đau khớp, mệt mỏi, phát ban da"
Bệnh viêm khớp có dấu hiệu gì và làm sao để bớt khó chịu?,viêm khớp,"['Triệu chứng', 'Điều trị']",arthritis,"Triệu chứng: đau, sưng đỏ và cứng khớp. Điều trị: NSAIDs (diclofenac, ibuprofen), corticosteroids (prednisolone), thuốc điều trị cơ bản nếu viêm khớp dạng thấp (methotrexate), vật lý trị liệu;"
"Tôi thấy khó chịu ở tụ máu phổi, có phải dấu hiệu bệnh không?",tụ máu phổi,['Triệu chứng'],Lung Contusion,"Đau ngực (nhói hoặc âm ỉ), khó thở hoặc hụt hơi, thở nhanh hoặc nông, ho ra máu hoặc đờm có màu hồng, giảm mức oxy, thở khò khè, xanh tím (xanh da), bầm tím thành ngực, gãy xương sườn (chấn thương liên quan)"
"Tôi hay bị đau khi bị thoái hóa điểm vàng, đó có phải vấn đề không?",thoái hóa điểm vàng,['Triệu chứng'],Macular Degeneration,"Tầm nhìn trung tâm mờ hoặc méo mó, điểm mù"
"Bệnh vẩy nến có dấu hiệu gì, nguyên nhân là gì, và làm sao để chữa?",vẩy nến,"['Triệu chứng', 'Điều trị', 'Nguyên nhân']",Psoriasis,"Triệu chứng: Da đỏ, có vảy bạc mỏng; vùng da bị ngứa và có thể sần sùi. Điều trị: Kem corticosteroid, liệu pháp ánh sáng, thuốc ức chế miễn dịch. Nguyên nhân: Rối loạn miễn dịch, di truyền, yếu tố môi trường và stress kích thích tăng sinh tế bào da"
Nguyên nhân nào khiến tôi bị trichomonas vaginalis và có cách điều trị không?,trichomonas vaginalis,"['Nguyên nhân', 'Điều trị']",Trichomoniasis,Nguyên nhân: Nhiễm ký sinh trùng Trichomonas qua giao hợp không an toàn. Điều trị: Dùng metronidazole hoặc tinidazole cho cả đối tác
